,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0,0.257861635,0.09591195,0.001572327,0.01572327,0,0,0,0.001572327,0.003144654,0,0.009433962,0.001572327,0.009433962,0.001572327,0,0.003144654,0.003144654,0.007861635,0.033018868,0.006289308,0.04245283,0.025157233,0,0.004716981,0.001572327,0.001572327,0.012578616,0.003144654,0.003144654,0.001572327,0.012578616,0,0.003144654,0.003144654,0.001572327,0.011006289,0.003144654,0.004716981,0,0,0.001572327,0.004716981,0.407232704
1,0,0.862916525,0.012224171,0.000209408,0.03565165,6.11E-05,0.014955195,0.003411599,0.000453717,0.001003412,2.62E-05,0.004388835,0.003847865,0.007425246,0.001797416,0.000532244,0.003167291,0.000776553,0.019963528,0.001579283,8.73E-05,0.001902119,0.001073214,0.000122154,0.000575871,0.000122154,0.000122154,0.000750377,0.000183232,0.000357738,0.000157056,0.000846356,3.49E-05,0.00014833,0.000750377,3.49E-05,0.000235584,1.75E-05,0.000331562,3.49E-05,0.00014833,7.85E-05,0.000357738,0.017136525
2,0,0.070433527,0.753502166,0.019588715,0.007140906,0.002809537,0.000195107,0.000156085,7.80E-05,0.00464354,0.001326726,0.004214305,0.001209662,0.00288758,0.000546299,0,0.000741406,0.012057596,0.001092598,0.037811683,3.90E-05,0.015725602,0.004838647,0.000273149,0.007882312,0.00144379,0.001092598,0.005150817,0.000897491,0.00117064,0.001599875,0.010418699,0.000429235,0.000819448,0.003316814,0.000312171,0.001131619,3.90E-05,0.001053576,0.000468256,0.000156085,3.90E-05,0.000663363,0.02060327
3,0,0.040582726,0.528616025,0,0.119667014,0.028095734,0.002081165,0,0,0.004162331,0.009365245,0.013527575,0,0.005202914,0.001040583,0,0,0.02289282,0.002081165,0.131113424,0,0.028095734,0.003121748,0.001040583,0.017689906,0.006243496,0,0.006243496,0.003121748,0.001040583,0.002081165,0.015608741,0,0,0.002081165,0,0,0,0.001040583,0,0,0,0,0.004162331
4,0.000810898,0.358336036,0.0159747,0.009325332,0.450454103,0,0.006892637,0.000324359,0.000324359,0.000567629,0,0.048978268,0.001378527,0.004297762,0.000810898,8.11E-05,0.001054168,0.000405449,0.062439183,0.000729809,0,0.000891988,0.000891988,8.11E-05,0.000567629,0.000486539,8.11E-05,0.000648719,8.11E-05,0.000973078,0.017758677,0.000729809,8.11E-05,8.11E-05,0.000324359,0,8.11E-05,0,0.000324359,0,0.000405449,0,0.00024327,0.012082387
5,0,0.012987013,0.37012987,0.194805195,0.003246753,0,0.003246753,0,0,0,0.159090909,0.00974026,0,0,0,0,0,0.006493506,0,0.00974026,0,0.155844156,0.016233766,0.003246753,0,0,0,0,0,0,0.003246753,0,0,0,0.003246753,0,0,0,0.003246753,0,0,0,0,0.045454545
6,8.24E-05,0.188313829,0.000576891,0,0.011537828,0,0.522910829,0.028926982,0.001565848,0.001565848,0,0.001483435,0.093703643,0.046645789,0.002225152,0.001153783,0.002637218,0.000412065,0.084143728,0.000576891,0,0.000164826,0.000247239,0,8.24E-05,8.24E-05,0,0.000494478,0.000247239,8.24E-05,8.24E-05,0.000164826,0,0,0.000741717,0,0,0,0,0,0,0,8.24E-05,0.009065436
7,0.000147689,0.05671245,0,0,0.000886132,0,0.053315611,0.834736376,0,0,0,0.000295377,0.037660611,0.000738443,0.000590755,0,0.000590755,0,0.001181509,0.000147689,0,0,0.000295377,0.000147689,0,0,0,0.000147689,0,0.000147689,0,0,0,0,0,0,0,0,0.000295377,0,0,0,0,0.011962782
8,0,0.021122846,0,0,0.002223457,0,0.021122846,0,0.818232351,0.001667593,0,0.019455253,0.010005559,0.041689828,0,0.000555864,0,0.000555864,0.043357421,0.000555864,0,0.000555864,0.000555864,0.000555864,0,0.000555864,0,0,0,0,0.000555864,0,0,0,0,0,0,0,0.000555864,0,0,0,0,0.016120067
9,0,0.008267142,0.007213487,8.11E-05,0.000810504,0,0.001053655,0,0.000324202,0.850299887,0,0,0.003079916,0.012968066,0.000162101,0.000243151,0.010455503,0.016534284,0.000810504,0.026503485,0,0.001539958,0.00194521,0.000648403,0.000648403,0.000162101,0.000405252,0.001539958,0.00194521,0.00194521,0.028286594,0.005997731,0.000162101,0.000243151,0.001134706,0,0.000567353,0.000162101,8.11E-05,0,0,8.11E-05,0.000486302,0.013211217
